manufacturer,model,search_code,start_year,end_year,variant,code,image_path
CHRYSLER,CROSSFIRE,CROSSFIRE,2003,2008,,, 
CHRYSLER,PT CRUISER,PTCRUISER,2001,2010,,, 
CHRYSLER,VOYAGER,VOYAGER,1995,2001,,,
