manufacturer,model,search_code,start_year,end_year,variant,code,image_path
ZASTAVA,101,101,,,, 
ZASTAVA,YUGO FLORIDA,YUGOFLORIDA,,,, 
ZASTAVA,YUGO/YUGO IN,YUGOYUGOIN,,,, 
